ArticleTitle,Summary,Body,topic,tag,source
Slack Integration - Slack Integration,"Slack bot is built with Bolt SDK, hosted via AWS Lambda, and uses Firestore to store Devpost and Salesforce user mapping.","Slack bot is built with Bolt SDK, hosted via AWS Lambda, and uses Firestore to store Devpost and Salesforce user mapping.",Slack Integration,Slack Integration,architecture_discussion.md
Agentforce - Personalization,"Personalization Rules can adjust answers based on Devpost ID, role, and prior queries to improve context relevance.","Personalization Rules can adjust answers based on Devpost ID, role, and prior queries to improve context relevance.",Agentforce,Personalization,architecture_discussion.md
Architecture Overview - Environment Setup,Data Cloud Playground is created using Trailhead Coral Sample App with pre-enabled Data Cloud and Agentforce modules.,Data Cloud Playground is created using Trailhead Coral Sample App with pre-enabled Data Cloud and Agentforce modules.,Architecture Overview,Environment Setup,architecture_discussion.md
Hackathon Tips - Prepare,Craft a compelling story for your final submission.,Craft a compelling story for your final submission.,Hackathon Tips,Prepare,hackathon_tips.md
Hackathon Submission - Demo Tips,Create a video that includes footage explaining your Project’s features and functionality through a comprehensive demonstration.,Create a video that includes footage explaining your Project’s features and functionality through a comprehensive demonstration.,Hackathon Submission,Demo Tips,hackathon_submission.md
Hackathon Submission - Demo Tips,"The video should include slides to introduce your use case and features, but slides are optional.","The video should include slides to introduce your use case and features, but slides are optional.",Hackathon Submission,Demo Tips,hackathon_submission.md
Hackathon Submission - Demo Tips,Demo videos should be full screen and recorded in at least 1080p.,Demo videos should be full screen and recorded in at least 1080p.,Hackathon Submission,Demo Tips,hackathon_submission.md
Hackathon Submission - Demo Tips,Use tools like QuickTime or Camtasia; avoid watermarked tools.,Use tools like QuickTime or Camtasia; avoid watermarked tools.,Hackathon Submission,Demo Tips,hackathon_submission.md
Hackathon Submission - Demo Tips,"Ensure accessibility: use high-contrast themes, large fonts, and no copyrighted material.","Ensure accessibility: use high-contrast themes, large fonts, and no copyrighted material.",Hackathon Submission,Demo Tips,hackathon_submission.md
Hackathon Submission - Demo Tips,Avoid generative AI tools for video/audio and do not edit Salesforce characters like Einstein.,Avoid generative AI tools for video/audio and do not edit Salesforce characters like Einstein.,Hackathon Submission,Demo Tips,hackathon_submission.md
Hackathon Tips - Organize,"1. Organize: build a well-rounded, and collaborative team. Clearly define roles and align on complementary skill sets to maximize efficiency and creativity.","1. Organize: build a well-rounded, and collaborative team. Clearly define roles and align on complementary skill sets to maximize efficiency and creativity.",Hackathon Tips,Organize,hackathon_tips.md
Hackathon Tips - Organize,1a. Teams may be comprised of up to 5 individuals. Consider roles & skill sets you may not have yourself including:,1a. Teams may be comprised of up to 5 individuals. Consider roles & skill sets you may not have yourself including:,Hackathon Tips,Organize,hackathon_tips.md
Hackathon Tips - Organize,1a-i. Team leader drives the team's vision and coordination.,1a-i. Team leader drives the team's vision and coordination.,Hackathon Tips,Organize,hackathon_tips.md
Hackathon Tips - Organize,1a-ii. Admin builds functionality using low-code tools.,1a-ii. Admin builds functionality using low-code tools.,Hackathon Tips,Organize,hackathon_tips.md
Hackathon Tips - Organize,1a-iii. Developer pushes boundaries with custom components.,1a-iii. Developer pushes boundaries with custom components.,Hackathon Tips,Organize,hackathon_tips.md
Hackathon Tips - Organize,1a-iv. Marketer crafts a compelling narrative and pitch.,1a-iv. Marketer crafts a compelling narrative and pitch.,Hackathon Tips,Organize,hackathon_tips.md
Hackathon Tips - Organize,1a-v. Designer enhances usability and visual appeal.,1a-v. Designer enhances usability and visual appeal.,Hackathon Tips,Organize,hackathon_tips.md
Hackathon Tips - Organize,1a-vi. Data analyst provides insights by interpreting and visualizing data.,1a-vi. Data analyst provides insights by interpreting and visualizing data.,Hackathon Tips,Organize,hackathon_tips.md
Hackathon Tips - Organize,1a-vii. Content creator develops engaging content to support the pitch.,1a-vii. Content creator develops engaging content to support the pitch.,Hackathon Tips,Organize,hackathon_tips.md
Hackathon Tips - Ideate,"2. Ideate: identify a unique, impactful, and innovative use case that effectively addresses the challenge.","2. Ideate: identify a unique, impactful, and innovative use case that effectively addresses the challenge.",Hackathon Tips,Ideate,hackathon_tips.md
Hackathon Tips - Ideate,2a. A winning solution starts with a unique and compelling use case. Think outside of the box and find industry expertise.,2a. A winning solution starts with a unique and compelling use case. Think outside of the box and find industry expertise.,Hackathon Tips,Ideate,hackathon_tips.md
Hackathon Tips - Ideate,2b. Avoid common & generic examples like:,2b. Avoid common & generic examples like: i. Order management - where is my order? ii. Case management - can you help me with my case?,Hackathon Tips,Ideate,hackathon_tips.md
Hackathon Tips - Design,"3. Design: develop a robust architecture and a thoughtful data model to ensure seamless, effective user experience.","3. Design: develop a robust architecture and a thoughtful data model to ensure seamless, effective user experience.",Hackathon Tips,Design,hackathon_tips.md
Hackathon Tips - Design,3a-i. Define your data model using standard or custom objects.,3a-i. Define your data model using standard or custom objects.,Hackathon Tips,Design,hackathon_tips.md
Hackathon Tips - Design,3a-ii. Think about your agent’s actions and use cases.,3a-ii. Think about your agent’s actions and use cases.,Hackathon Tips,Design,hackathon_tips.md
Hackathon Tips - Design,3a-iii. Identify the necessary data.,3a-iii. Identify the necessary data.,Hackathon Tips,Design,hackathon_tips.md
Hackathon Tips - Design,3a-iv. Define your UI/UX.,3a-iv. Define your UI/UX.,Hackathon Tips,Design,hackathon_tips.md
Hackathon Tips - Build,4. Build: distribute tasks and work collaboratively to develop as much of your solution as possible while maintaining quality.,4. Build: distribute tasks and work collaboratively to develop as much of your solution as possible while maintaining quality.,Hackathon Tips,Build,hackathon_tips.md
Hackathon Tips - Build,4a-i. Tools - use the toolkit to your advantage.,4a-i. Tools - use the toolkit to your advantage.,Hackathon Tips,Build,hackathon_tips.md
Hackathon Tips - Build,4a-ii. Data - create demo data and ensure enough data is present.,4a-ii. Data - create demo data and ensure enough data is present.,Hackathon Tips,Build,hackathon_tips.md
Hackathon Tips - Build,4a-iii. Agents - ensure Agentforce is central to the solution.,4a-iii. Agents - ensure Agentforce is central to the solution.,Hackathon Tips,Build,hackathon_tips.md
Hackathon Tips - Build,4a-iv. UI/UX - polish page and record layouts.,4a-iv. UI/UX - polish page and record layouts.,Hackathon Tips,Build,hackathon_tips.md
Hackathon Tips - Build,4a-v. App - build supporting components around your agent.,4a-v. App - build supporting components around your agent.,Hackathon Tips,Build,hackathon_tips.md
Hackathon Tips - Prepare,5. Prepare: craft a compelling story for your final submission.,5. Prepare: craft a compelling story for your final submission.,Hackathon Tips,Prepare,hackathon_tips.md
Hackathon Tips - Prepare,5a. Tell a story with your demo that showcases the true power of Agentforce.,5a. Tell a story with your demo that showcases the true power of Agentforce.,Hackathon Tips,Prepare,hackathon_tips.md
Hackathon Tips - Prepare,5b. Use slides (optional) as a tool to tell the story of what you’ve built and the use case.,5b. Use slides (optional) as a tool to tell the story of what you’ve built and the use case.,Hackathon Tips,Prepare,hackathon_tips.md
Hackathon Tips - Prepare,5c. Record a clean demo that showcases the app and agent that you’ve built.,5c. Record a clean demo that showcases the app and agent that you’ve built.,Hackathon Tips,Prepare,hackathon_tips.md
Hackathon Tips - Prepare,5d. Tell a story with your script that highlights the technology and the use case.,5d. Tell a story with your script that highlights the technology and the use case.,Hackathon Tips,Prepare,hackathon_tips.md
Using Salesforce Knowledge Base in Agentforce with No RAG,"Steps to configure your Agentforce agent using topic-based search and Knowledge Base content, without Retrieval-Augmented Generation.","Use Salesforce Knowledge Base in Agentforce when RAG is not available. You can build topics like 'Hackathon Rules Overview' and configure actions:
1. Search Knowledge Base
2. Generate Answer

Use a prompt like:
Based on the following knowledge, answer the user’s question.
Knowledge:
{{Knowledge Articles}}
Question:
{{user_question}}

Ensure all your markdown chunks are loaded into Salesforce Knowledge as individual articles, and linked via relevant topics (e.g., Rules, Tips, Slack Integration).",Agentforce,Knowledge Base,chatgpt_generated
